States,Years,Quarter,Insurance_type,Insurance_count,Insurance_amount
Andaman & Nicobar,2020,2,Insurance,6,1360
Andaman & Nicobar,2020,3,Insurance,41,15380
Andaman & Nicobar,2020,4,Insurance,124,157975
Andaman & Nicobar,2021,1,Insurance,225,244266
Andaman & Nicobar,2021,2,Insurance,137,181504
Andaman & Nicobar,2021,3,Insurance,230,305235
Andaman & Nicobar,2021,4,Insurance,757,1056380
Andaman & Nicobar,2022,1,Insurance,768,1131287
Andaman & Nicobar,2022,2,Insurance,501,779740
Andaman & Nicobar,2022,3,Insurance,643,902466
Andaman & Nicobar,2022,4,Insurance,901,1441210
Andaman & Nicobar,2023,1,Insurance,1004,1439198
Andaman & Nicobar,2023,2,Insurance,768,1233395
Andaman & Nicobar,2023,3,Insurance,795,1251145
Andaman & Nicobar,2023,4,Insurance,1145,1757821
Andaman & Nicobar,2024,1,Insurance,1371,1964556
Andaman & Nicobar,2024,2,Insurance,1097,1744694
Andaman & Nicobar,2024,3,Insurance,1191,1752800
Andaman & Nicobar,2024,4,Insurance,1293,2026380
Andhra Pradesh,2020,2,Insurance,22104,3982391
Andhra Pradesh,2020,3,Insurance,49812,12426481
Andhra Pradesh,2020,4,Insurance,21464,12985632
Andhra Pradesh,2021,1,Insurance,22105,12749874
Andhra Pradesh,2021,2,Insurance,33205,22730687
Andhra Pradesh,2021,3,Insurance,23075,19914338
Andhra Pradesh,2021,4,Insurance,25423,31610335
Andhra Pradesh,2022,1,Insurance,29954,42648157
Andhra Pradesh,2022,2,Insurance,32185,41708072
Andhra Pradesh,2022,3,Insurance,39301,48791931
Andhra Pradesh,2022,4,Insurance,44329,58043239
Andhra Pradesh,2023,1,Insurance,34920,51963355
Andhra Pradesh,2023,2,Insurance,36376,52067478
Andhra Pradesh,2023,3,Insurance,43150,57802396
Andhra Pradesh,2023,4,Insurance,41798,62342423
Andhra Pradesh,2024,1,Insurance,46582,63563802
Andhra Pradesh,2024,2,Insurance,42547,62948281
Andhra Pradesh,2024,3,Insurance,48014,73915199
Andhra Pradesh,2024,4,Insurance,61425,80028914
Arunachal Pradesh,2020,2,Insurance,65,14329
Arunachal Pradesh,2020,3,Insurance,135,39687
Arunachal Pradesh,2020,4,Insurance,125,84247
Arunachal Pradesh,2021,1,Insurance,194,131611
Arunachal Pradesh,2021,2,Insurance,204,224928
Arunachal Pradesh,2021,3,Insurance,212,371051
Arunachal Pradesh,2021,4,Insurance,320,598459
Arunachal Pradesh,2022,1,Insurance,355,894107
Arunachal Pradesh,2022,2,Insurance,564,1360231
Arunachal Pradesh,2022,3,Insurance,510,1300304
Arunachal Pradesh,2022,4,Insurance,613,1464572
Arunachal Pradesh,2023,1,Insurance,606,1747475
Arunachal Pradesh,2023,2,Insurance,696,2095988
Arunachal Pradesh,2023,3,Insurance,718,1904786
Arunachal Pradesh,2023,4,Insurance,809,2105408
Arunachal Pradesh,2024,1,Insurance,1100,2419700
Arunachal Pradesh,2024,2,Insurance,1147,2353015
Arunachal Pradesh,2024,3,Insurance,842,1951385
Arunachal Pradesh,2024,4,Insurance,999,2359472
Assam,2020,2,Insurance,978,210034
Assam,2020,3,Insurance,2206,599450
Assam,2020,4,Insurance,2413,1806801
Assam,2021,1,Insurance,3167,2334419
Assam,2021,2,Insurance,3265,3008122
Assam,2021,3,Insurance,4495,6010865
Assam,2021,4,Insurance,8622,13962068
Assam,2022,1,Insurance,16230,27447766
Assam,2022,2,Insurance,9228,15357811
Assam,2022,3,Insurance,14149,22543564
Assam,2022,4,Insurance,18826,29239168
Assam,2023,1,Insurance,22100,36963888
Assam,2023,2,Insurance,16475,28368139
Assam,2023,3,Insurance,22593,35618158
Assam,2023,4,Insurance,23168,38731734
Assam,2024,1,Insurance,33097,48107248
Assam,2024,2,Insurance,22368,34796603
Assam,2024,3,Insurance,17633,31388971
Assam,2024,4,Insurance,21805,35336229
Bihar,2020,2,Insurance,2816,595621
Bihar,2020,3,Insurance,9733,2161102
Bihar,2020,4,Insurance,9913,7860932
Bihar,2021,1,Insurance,12554,8796619
Bihar,2021,2,Insurance,14301,13301581
Bihar,2021,3,Insurance,18030,18234941
Bihar,2021,4,Insurance,22456,27313813
Bihar,2022,1,Insurance,20253,27755736
Bihar,2022,2,Insurance,21892,28212833
Bihar,2022,3,Insurance,28511,34704251
Bihar,2022,4,Insurance,33895,43914519
Bihar,2023,1,Insurance,26929,38746711
Bihar,2023,2,Insurance,29212,40354886
Bihar,2023,3,Insurance,36550,45832355
Bihar,2023,4,Insurance,41447,57624322
Bihar,2024,1,Insurance,51592,63844442
Bihar,2024,2,Insurance,49101,65285065
Bihar,2024,3,Insurance,44745,62777286
Bihar,2024,4,Insurance,62662,83739800
Chandigarh,2020,2,Insurance,149,29537
Chandigarh,2020,3,Insurance,264,70969
Chandigarh,2020,4,Insurance,200,153341
Chandigarh,2021,1,Insurance,338,238576
Chandigarh,2021,2,Insurance,378,310943
Chandigarh,2021,3,Insurance,494,469634
Chandigarh,2021,4,Insurance,710,835813
Chandigarh,2022,1,Insurance,792,1150932
Chandigarh,2022,2,Insurance,1330,1874959
Chandigarh,2022,3,Insurance,1533,1998439
Chandigarh,2022,4,Insurance,1403,2024528
Chandigarh,2023,1,Insurance,1520,2415574
Chandigarh,2023,2,Insurance,1704,2501107
Chandigarh,2023,3,Insurance,1883,2660630
Chandigarh,2023,4,Insurance,1767,3053934
Chandigarh,2024,1,Insurance,1730,3143984
Chandigarh,2024,2,Insurance,1798,3177315
Chandigarh,2024,3,Insurance,1991,3445738
Chandigarh,2024,4,Insurance,2095,3729932
Chhattisgarh,2020,2,Insurance,1346,279005
Chhattisgarh,2020,3,Insurance,4702,1393656
Chhattisgarh,2020,4,Insurance,3757,2249901
Chhattisgarh,2021,1,Insurance,4712,2620468
Chhattisgarh,2021,2,Insurance,5055,3813417
Chhattisgarh,2021,3,Insurance,4676,3568837
