States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Andaman & Nicobar,2018,1,Recharge & bill payments,4200,1845307
Andaman & Nicobar,2018,1,Peer-to-peer payments,1871,12138655
Andaman & Nicobar,2018,1,Merchant payments,298,452507
Andaman & Nicobar,2018,1,Financial Services,33,10601
Andaman & Nicobar,2018,1,Others,256,184690
Andaman & Nicobar,2018,2,Recharge & bill payments,6735,2320945
Andaman & Nicobar,2018,2,Peer-to-peer payments,3575,24511925
Andaman & Nicobar,2018,2,Merchant payments,603,1024491
Andaman & Nicobar,2018,2,Financial Services,59,121336
Andaman & Nicobar,2018,2,Others,368,359839
Andaman & Nicobar,2018,3,Recharge & bill payments,8636,4343505
Andaman & Nicobar,2018,3,Peer-to-peer payments,6448,49270782
Andaman & Nicobar,2018,3,Merchant payments,945,1627360
Andaman & Nicobar,2018,3,Financial Services,42,1481
Andaman & Nicobar,2018,3,Others,194,314343
Andaman & Nicobar,2018,4,Recharge & bill payments,11517,5450550
Andaman & Nicobar,2018,4,Peer-to-peer payments,10451,81001457
Andaman & Nicobar,2018,4,Merchant payments,1421,3552028
Andaman & Nicobar,2018,4,Financial Services,29,76036
Andaman & Nicobar,2018,4,Others,340,468266
Andaman & Nicobar,2019,1,Recharge & bill payments,15263,6611460
Andaman & Nicobar,2019,1,Peer-to-peer payments,13119,91808346
Andaman & Nicobar,2019,1,Merchant payments,1759,3266590
Andaman & Nicobar,2019,1,Financial Services,62,116250
Andaman & Nicobar,2019,1,Others,283,497095
Andaman & Nicobar,2019,2,Recharge & bill payments,14676,7242448
Andaman & Nicobar,2019,2,Peer-to-peer payments,14481,107525359
Andaman & Nicobar,2019,2,Merchant payments,4031,4702153
Andaman & Nicobar,2019,2,Financial Services,124,113279
Andaman & Nicobar,2019,2,Others,377,671471
Andaman & Nicobar,2019,3,Recharge & bill payments,16219,8171738
Andaman & Nicobar,2019,3,Peer-to-peer payments,13767,101079821
Andaman & Nicobar,2019,3,Merchant payments,3519,4428735
Andaman & Nicobar,2019,3,Financial Services,50,158858
Andaman & Nicobar,2019,3,Others,215,232625
Andaman & Nicobar,2019,4,Peer-to-peer payments,18128,121493224
Andaman & Nicobar,2019,4,Recharge & bill payments,13851,9538691
Andaman & Nicobar,2019,4,Merchant payments,2920,5247500
Andaman & Nicobar,2019,4,Financial Services,60,295937
Andaman & Nicobar,2019,4,Others,200,263178
Andaman & Nicobar,2020,1,Peer-to-peer payments,18324,142332402
Andaman & Nicobar,2020,1,Recharge & bill payments,18268,10850414
Andaman & Nicobar,2020,1,Merchant payments,4424,7752872
Andaman & Nicobar,2020,1,Financial Services,66,208232
Andaman & Nicobar,2020,1,Others,216,332393
Andaman & Nicobar,2020,2,Recharge & bill payments,38125,17659623
Andaman & Nicobar,2020,2,Peer-to-peer payments,20303,141728758
Andaman & Nicobar,2020,2,Merchant payments,4004,9236376
Andaman & Nicobar,2020,2,Financial Services,175,706932
Andaman & Nicobar,2020,2,Others,355,313313
Andaman & Nicobar,2020,3,Recharge & bill payments,59310,24756221
Andaman & Nicobar,2020,3,Peer-to-peer payments,40697,289078947
Andaman & Nicobar,2020,3,Merchant payments,16096,22682992
Andaman & Nicobar,2020,3,Financial Services,572,961837
Andaman & Nicobar,2020,3,Others,808,539450
Andaman & Nicobar,2020,4,Peer-to-peer payments,81439,533316526
Andaman & Nicobar,2020,4,Recharge & bill payments,80811,33710031
Andaman & Nicobar,2020,4,Merchant payments,59391,56867469
Andaman & Nicobar,2020,4,Financial Services,965,1880547
Andaman & Nicobar,2020,4,Others,1925,1508084
Andaman & Nicobar,2021,1,Peer-to-peer payments,105458,665391396
Andaman & Nicobar,2021,1,Recharge & bill payments,84119,37160923
Andaman & Nicobar,2021,1,Merchant payments,53090,78606979
Andaman & Nicobar,2021,1,Financial Services,884,1469351
Andaman & Nicobar,2021,1,Others,1201,1077919
Andaman & Nicobar,2021,2,Peer-to-peer payments,132772,748382045
Andaman & Nicobar,2021,2,Recharge & bill payments,120911,43691961
Andaman & Nicobar,2021,2,Merchant payments,85143,103707409
Andaman & Nicobar,2021,2,Financial Services,960,2038522
Andaman & Nicobar,2021,2,Others,1628,1327080
Andaman & Nicobar,2021,3,Peer-to-peer payments,192321,1077787837
Andaman & Nicobar,2021,3,Recharge & bill payments,136010,51243451
Andaman & Nicobar,2021,3,Merchant payments,118340,176991328
Andaman & Nicobar,2021,3,Financial Services,990,2351013
Andaman & Nicobar,2021,3,Others,2103,1650766
Andaman & Nicobar,2021,4,Peer-to-peer payments,285778,1544932663
Andaman & Nicobar,2021,4,Merchant payments,210164,322842315
Andaman & Nicobar,2021,4,Recharge & bill payments,135608,59243518
Andaman & Nicobar,2021,4,Financial Services,1718,3137965
Andaman & Nicobar,2021,4,Others,2855,2453640
Andaman & Nicobar,2022,1,Peer-to-peer payments,342649,1682328506
Andaman & Nicobar,2022,1,Merchant payments,284298,370091559
Andaman & Nicobar,2022,1,Recharge & bill payments,163401,71300134
Andaman & Nicobar,2022,1,Financial Services,1757,2869682
Andaman & Nicobar,2022,1,Others,2643,2440322
Andaman & Nicobar,2022,2,Merchant payments,449540,510838981
Andaman & Nicobar,2022,2,Peer-to-peer payments,437606,2088309073
