States,Years,Quarter,Brands,Transaction_count,Percentage
Andaman & Nicobar,2018,1,Xiaomi,1665,0.247033
Andaman & Nicobar,2018,1,Samsung,1445,0.214392
Andaman & Nicobar,2018,1,Vivo,982,0.145697
Andaman & Nicobar,2018,1,Oppo,501,0.0743323
Andaman & Nicobar,2018,1,OnePlus,332,0.0492582
Andaman & Nicobar,2018,1,Realme,316,0.0468843
Andaman & Nicobar,2018,1,Apple,229,0.0339763
Andaman & Nicobar,2018,1,Motorola,226,0.0335312
Andaman & Nicobar,2018,1,Lenovo,202,0.0299703
Andaman & Nicobar,2018,1,Huawei,158,0.0234421
Andaman & Nicobar,2018,1,Others,684,0.101484
Andaman & Nicobar,2018,2,Xiaomi,2303,0.24487
Andaman & Nicobar,2018,2,Samsung,1923,0.204466
Andaman & Nicobar,2018,2,Vivo,1523,0.161935
Andaman & Nicobar,2018,2,Oppo,708,0.0752791
Andaman & Nicobar,2018,2,OnePlus,466,0.0495481
Andaman & Nicobar,2018,2,Realme,465,0.0494418
Andaman & Nicobar,2018,2,Motorola,319,0.0339181
Andaman & Nicobar,2018,2,Apple,308,0.0327485
Andaman & Nicobar,2018,2,Lenovo,244,0.0259436
Andaman & Nicobar,2018,2,Huawei,230,0.0244551
Andaman & Nicobar,2018,2,Others,916,0.097395
Andaman & Nicobar,2018,3,Xiaomi,2950,0.242818
Andaman & Nicobar,2018,3,Samsung,2409,0.198288
Andaman & Nicobar,2018,3,Vivo,2063,0.169808
Andaman & Nicobar,2018,3,Oppo,988,0.0813236
Andaman & Nicobar,2018,3,OnePlus,617,0.0507861
Andaman & Nicobar,2018,3,Realme,603,0.0496337
Andaman & Nicobar,2018,3,Motorola,390,0.0321014
Andaman & Nicobar,2018,3,Apple,371,0.0305375
Andaman & Nicobar,2018,3,Huawei,314,0.0258457
Andaman & Nicobar,2018,3,Lenovo,299,0.0246111
Andaman & Nicobar,2018,3,Others,1145,0.0942464
Andaman & Nicobar,2018,4,Xiaomi,3719,0.244317
Andaman & Nicobar,2018,4,Samsung,2936,0.192879
Andaman & Nicobar,2018,4,Vivo,2742,0.180134
Andaman & Nicobar,2018,4,Oppo,1268,0.0833005
Andaman & Nicobar,2018,4,Realme,760,0.0499277
Andaman & Nicobar,2018,4,OnePlus,721,0.0473657
Andaman & Nicobar,2018,4,Motorola,474,0.0311391
Andaman & Nicobar,2018,4,Apple,455,0.0298909
Andaman & Nicobar,2018,4,Huawei,398,0.0261464
Andaman & Nicobar,2018,4,Lenovo,377,0.0247668
Andaman & Nicobar,2018,4,Others,1372,0.0901327
Andaman & Nicobar,2019,1,Xiaomi,4576,0.246074
Andaman & Nicobar,2019,1,Samsung,3567,0.191815
Andaman & Nicobar,2019,1,Vivo,3420,0.183911
Andaman & Nicobar,2019,1,Oppo,1600,0.08604
Andaman & Nicobar,2019,1,Realme,897,0.0482362
Andaman & Nicobar,2019,1,OnePlus,855,0.0459776
Andaman & Nicobar,2019,1,Motorola,561,0.0301678
Andaman & Nicobar,2019,1,Apple,515,0.0276941
Andaman & Nicobar,2019,1,Huawei,515,0.0276941
Andaman & Nicobar,2019,1,Lenovo,426,0.0229082
Andaman & Nicobar,2019,1,Others,1664,0.0894816
Andaman & Nicobar,2019,2,Xiaomi,5296,0.243707
Andaman & Nicobar,2019,2,Samsung,4165,0.191662
Andaman & Nicobar,2019,2,Vivo,4102,0.188763
Andaman & Nicobar,2019,2,Oppo,1905,0.0876628
Andaman & Nicobar,2019,2,Realme,1012,0.0465694
Andaman & Nicobar,2019,2,OnePlus,950,0.0437163
Andaman & Nicobar,2019,2,Huawei,644,0.0296351
Andaman & Nicobar,2019,2,Motorola,630,0.0289908
Andaman & Nicobar,2019,2,Apple,569,0.0261838
Andaman & Nicobar,2019,2,Lenovo,477,0.0219502
Andaman & Nicobar,2019,2,Others,1981,0.0911601
Andaman & Nicobar,2019,3,Xiaomi,5819,0.243157
Andaman & Nicobar,2019,3,Vivo,4685,0.195771
Andaman & Nicobar,2019,3,Samsung,4508,0.188375
Andaman & Nicobar,2019,3,Oppo,2108,0.0880866
Andaman & Nicobar,2019,3,Realme,1158,0.0483891
Andaman & Nicobar,2019,3,OnePlus,1045,0.0436672
Andaman & Nicobar,2019,3,Huawei,725,0.0302954
Andaman & Nicobar,2019,3,Motorola,660,0.0275793
Andaman & Nicobar,2019,3,Apple,630,0.0263257
Andaman & Nicobar,2019,3,Lenovo,483,0.020183
Andaman & Nicobar,2019,3,Others,2110,0.0881702
Andaman & Nicobar,2019,4,Xiaomi,6259,0.241102
Andaman & Nicobar,2019,4,Vivo,5190,0.199923
Andaman & Nicobar,2019,4,Samsung,4900,0.188752
Andaman & Nicobar,2019,4,Oppo,2329,0.0897149
Andaman & Nicobar,2019,4,Realme,1329,0.0511941
Andaman & Nicobar,2019,4,OnePlus,1124,0.0432974
Andaman & Nicobar,2019,4,Huawei,798,0.0307396
Andaman & Nicobar,2019,4,Motorola,682,0.0262712
Andaman & Nicobar,2019,4,Apple,678,0.0261171
Andaman & Nicobar,2019,4,Lenovo,488,0.0187982
Andaman & Nicobar,2019,4,Others,2183,0.0840909
Andaman & Nicobar,2020,1,Xiaomi,6803,0.239812
Andaman & Nicobar,2020,1,Vivo,5880,0.207276
Andaman & Nicobar,2020,1,Samsung,5335,0.188064
Andaman & Nicobar,2020,1,Oppo,2557,0.0901368
Andaman & Nicobar,2020,1,Realme,1511,0.0532642
Andaman & Nicobar,2020,1,OnePlus,1184,0.0417372
Andaman & Nicobar,2020,1,Huawei,891,0.0314086
Andaman & Nicobar,2020,1,Apple,735,0.0259095
Andaman & Nicobar,2020,1,Motorola,715,0.0252045
Andaman & Nicobar,2020,1,Lenovo,500,0.0176255
Andaman & Nicobar,2020,1,Others,2257,0.0795615
Andaman & Nicobar,2020,2,Xiaomi,7805,0.238612
Andaman & Nicobar,2020,2,Vivo,7122,0.217732
Andaman & Nicobar,2020,2,Samsung,6030,0.184347
Andaman & Nicobar,2020,2,Oppo,2976,0.0909813
Andaman & Nicobar,2020,2,Realme,1761,0.0538367
Andaman & Nicobar,2020,2,OnePlus,1271,0.0388566
Andaman & Nicobar,2020,2,Huawei,1005,0.0307245
Andaman & Nicobar,2020,2,Apple,792,0.0242128
Andaman & Nicobar,2020,2,Motorola,779,0.0238153
Andaman & Nicobar,2020,2,Lenovo,552,0.0168756
Andaman & Nicobar,2020,2,Others,2617,0.0800061
Andaman & Nicobar,2020,3,Xiaomi,9794,0.236942
Andaman & Nicobar,2020,3,Vivo,9556,0.231184
Andaman & Nicobar,2020,3,Samsung,7572,0.183186
Andaman & Nicobar,2020,3,Oppo,3730,0.0902383
Andaman & Nicobar,2020,3,Realme,2285,0.05528
Andaman & Nicobar,2020,3,OnePlus,1440,0.0348373
Andaman & Nicobar,2020,3,Huawei,1213,0.0293456
Andaman & Nicobar,2020,3,Motorola,907,0.0219427
Andaman & Nicobar,2020,3,Apple,870,0.0210475
Andaman & Nicobar,2020,3,Lenovo,606,0.0146607
Andaman & Nicobar,2020,3,Others,3362,0.0813354
Andaman & Nicobar,2020,4,Xiaomi,12398,0.236621
Andaman & Nicobar,2020,4,Vivo,12275,0.234274
Andaman & Nicobar,2020,4,Samsung,9938,0.189671
Andaman & Nicobar,2020,4,Oppo,4723,0.0901405
Andaman & Nicobar,2020,4,Realme,2996,0.0571799
Andaman & Nicobar,2020,4,OnePlus,1638,0.0312619
Andaman & Nicobar,2020,4,Huawei,1472,0.0280937
Andaman & Nicobar,2020,4,Motorola,1032,0.0196962
Andaman & Nicobar,2020,4,Apple,973,0.0185701
Andaman & Nicobar,2020,4,Lenovo,708,0.0135125
Andaman & Nicobar,2020,4,Others,4243,0.0809795
Andaman & Nicobar,2021,1,Vivo,13812,0.239136
Andaman & Nicobar,2021,1,Xiaomi,13714,0.237439
Andaman & Nicobar,2021,1,Samsung,10861,0.188043
Andaman & Nicobar,2021,1,Oppo,5158,0.0893036
Andaman & Nicobar,2021,1,Realme,3419,0.0591953
Andaman & Nicobar,2021,1,OnePlus,1773,0.030697
Andaman & Nicobar,2021,1,Huawei,1575,0.0272689
Andaman & Nicobar,2021,1,Motorola,1062,0.0183871
Andaman & Nicobar,2021,1,Apple,1056,0.0182832
Andaman & Nicobar,2021,1,Tecno,796,0.0137816
Andaman & Nicobar,2021,1,Others,4532,0.0784653
Andaman & Nicobar,2021,2,Vivo,15056,0.242467
Andaman & Nicobar,2021,2,Xiaomi,14788,0.238151
Andaman & Nicobar,2021,2,Samsung,11476,0.184814
Andaman & Nicobar,2021,2,Oppo,5456,0.0878654
Andaman & Nicobar,2021,2,Realme,4034,0.064965
Andaman & Nicobar,2021,2,OnePlus,1981,0.0319027
Andaman & Nicobar,2021,2,Huawei,1559,0.0251067
Andaman & Nicobar,2021,2,Apple,1153,0.0185683
Andaman & Nicobar,2021,2,Motorola,1054,0.016974
Andaman & Nicobar,2021,2,Tecno,974,0.0156856
Andaman & Nicobar,2021,2,Others,4564,0.0735003
Andaman & Nicobar,2021,3,Vivo,16411,0.245006
