States,Years,Quarter,District,Transaction_count,Transaction_amount
Andaman & Nicobar,2018,1,north and middle andaman district,442,931663.0
Andaman & Nicobar,2018,1,south andaman district,5688,12560200.0
Andaman & Nicobar,2018,1,nicobars district,528,1139850.0
Andaman & Nicobar,2018,2,north and middle andaman district,825,1317860.0
Andaman & Nicobar,2018,2,south andaman district,9395,23948200.0
Andaman & Nicobar,2018,2,nicobars district,1120,3072440.0
Andaman & Nicobar,2018,3,north and middle andaman district,1283,4901530.0
Andaman & Nicobar,2018,3,south andaman district,13511,44268100.0
Andaman & Nicobar,2018,3,nicobars district,1471,6387830.0
Andaman & Nicobar,2018,4,north and middle andaman district,2137,7955640.0
Andaman & Nicobar,2018,4,south andaman district,20136,75411800.0
Andaman & Nicobar,2018,4,nicobars district,1485,7180860.0
Andaman & Nicobar,2019,1,north and middle andaman district,3264,9561710.0
Andaman & Nicobar,2019,1,south andaman district,25683,85502000.0
Andaman & Nicobar,2019,1,nicobars district,1539,7236060.0
Andaman & Nicobar,2019,2,north and middle andaman district,3371,8612100.0
Andaman & Nicobar,2019,2,south andaman district,28490,102531000.0
Andaman & Nicobar,2019,2,nicobars district,1828,9111650.0
Andaman & Nicobar,2019,3,north and middle andaman district,4049,11481500.0
Andaman & Nicobar,2019,3,south andaman district,27421,91023900.0
Andaman & Nicobar,2019,3,nicobars district,2300,11566400.0
Andaman & Nicobar,2019,4,north and middle andaman district,4716,13524100.0
Andaman & Nicobar,2019,4,south andaman district,27843,110930000.0
Andaman & Nicobar,2019,4,nicobars district,2600,12384200.0
Andaman & Nicobar,2020,1,north and middle andaman district,5674,14697400.0
Andaman & Nicobar,2020,1,south andaman district,32713,134679000.0
Andaman & Nicobar,2020,1,nicobars district,2911,12099500.0
Andaman & Nicobar,2020,2,north and middle andaman district,10979,22447700.0
Andaman & Nicobar,2020,2,south andaman district,48088,132856000.0
Andaman & Nicobar,2020,2,nicobars district,3895,14341500.0
Andaman & Nicobar,2020,3,north and middle andaman district,16747,33486900.0
Andaman & Nicobar,2020,3,south andaman district,95323,282366000.0
Andaman & Nicobar,2020,3,nicobars district,5413,22166500.0
Andaman & Nicobar,2020,4,north and middle andaman district,29349,68941300.0
Andaman & Nicobar,2020,4,south andaman district,186494,523122000.0
Andaman & Nicobar,2020,4,nicobars district,8688,35218900.0
Andaman & Nicobar,2021,1,north and middle andaman district,27358,75027300.0
Andaman & Nicobar,2021,1,south andaman district,207092,669604000.0
Andaman & Nicobar,2021,1,nicobars district,10302,39075300.0
Andaman & Nicobar,2021,2,north and middle andaman district,39200,90233400.0
Andaman & Nicobar,2021,2,south andaman district,286907,760893000.0
Andaman & Nicobar,2021,2,nicobars district,15307,48020600.0
Andaman & Nicobar,2021,3,north and middle andaman district,46592,118255000.0
Andaman & Nicobar,2021,3,south andaman district,382418,1116790000.0
Andaman & Nicobar,2021,3,nicobars district,20754,74980500.0
Andaman & Nicobar,2021,4,north and middle andaman district,53115,156486000.0
