States,Years,Quarter,Pincodes,Transaction_count,Transaction_amount
Andaman & Nicobar,2020,2,744301.0,3,565
Andaman & Nicobar,2020,2,744104.0,2,513
Andaman & Nicobar,2020,2,744101.0,1,282
Andaman & Nicobar,2020,3,744112.0,9,3432
Andaman & Nicobar,2020,3,744105.0,7,3948
Andaman & Nicobar,2020,3,744101.0,5,2194
Andaman & Nicobar,2020,3,744206.0,4,1620
Andaman & Nicobar,2020,3,744107.0,3,1095
Andaman & Nicobar,2020,3,744103.0,3,947
Andaman & Nicobar,2020,3,744302.0,3,562
Andaman & Nicobar,2020,3,744211.0,2,101
Andaman & Nicobar,2020,3,744301.0,2,886
Andaman & Nicobar,2020,3,744102.0,2,314
Andaman & Nicobar,2020,4,744105.0,25,25659
Andaman & Nicobar,2020,4,744101.0,23,29686
Andaman & Nicobar,2020,4,744103.0,18,24904
Andaman & Nicobar,2020,4,744102.0,17,25073
Andaman & Nicobar,2020,4,744112.0,8,10459
Andaman & Nicobar,2020,4,744106.0,6,4840
Andaman & Nicobar,2020,4,744204.0,6,11659
Andaman & Nicobar,2020,4,744104.0,4,10271
Andaman & Nicobar,2020,4,744206.0,3,100
Andaman & Nicobar,2020,4,744205.0,3,5235
Andaman & Nicobar,2021,1,744105.0,47,53060
Andaman & Nicobar,2021,1,744103.0,35,39985
Andaman & Nicobar,2021,1,744101.0,33,24571
Andaman & Nicobar,2021,1,744204.0,25,29635
Andaman & Nicobar,2021,1,744202.0,12,17588
Andaman & Nicobar,2021,1,744102.0,12,14085
Andaman & Nicobar,2021,1,744104.0,9,7310
Andaman & Nicobar,2021,1,744107.0,8,9253
Andaman & Nicobar,2021,1,744205.0,7,11223
Andaman & Nicobar,2021,1,744301.0,7,6612
Andaman & Nicobar,2021,2,744103.0,36,33716
Andaman & Nicobar,2021,2,744101.0,17,19787
Andaman & Nicobar,2021,2,744105.0,15,17163
Andaman & Nicobar,2021,2,744102.0,13,10326
Andaman & Nicobar,2021,2,744204.0,10,10557
Andaman & Nicobar,2021,2,744107.0,8,11459
Andaman & Nicobar,2021,2,744202.0,6,9766
Andaman & Nicobar,2021,2,744104.0,6,8889
Andaman & Nicobar,2021,2,744205.0,6,12669
Andaman & Nicobar,2021,2,744210.0,4,9430
Andaman & Nicobar,2021,3,744105.0,70,82425
Andaman & Nicobar,2021,3,744103.0,44,53909
Andaman & Nicobar,2021,3,744101.0,26,29601
Andaman & Nicobar,2021,3,744102.0,14,20616
Andaman & Nicobar,2021,3,744204.0,13,20075
Andaman & Nicobar,2021,3,744202.0,11,18134
Andaman & Nicobar,2021,3,744112.0,11,14406
Andaman & Nicobar,2021,3,744302.0,8,7247
Andaman & Nicobar,2021,3,744107.0,6,6406
Andaman & Nicobar,2021,3,744104.0,6,2221
Andaman & Nicobar,2021,4,744105.0,194,232344
Andaman & Nicobar,2021,4,744101.0,159,211326
Andaman & Nicobar,2021,4,744103.0,133,168668
Andaman & Nicobar,2021,4,744102.0,66,68931
Andaman & Nicobar,2021,4,744301.0,32,53658
Andaman & Nicobar,2021,4,744204.0,31,102213
Andaman & Nicobar,2021,4,744104.0,24,31069
Andaman & Nicobar,2021,4,744112.0,22,38599
Andaman & Nicobar,2021,4,744202.0,21,23016
Andaman & Nicobar,2021,4,744205.0,13,30437
Andaman & Nicobar,2022,1,744103.0,174,226181
Andaman & Nicobar,2022,1,744101.0,149,204646
Andaman & Nicobar,2022,1,744105.0,137,218321
Andaman & Nicobar,2022,1,744102.0,102,147402
Andaman & Nicobar,2022,1,744112.0,36,39197
Andaman & Nicobar,2022,1,744104.0,33,35406
Andaman & Nicobar,2022,1,744107.0,28,36877
Andaman & Nicobar,2022,1,744207.0,19,50799
Andaman & Nicobar,2022,1,744301.0,16,33406
Andaman & Nicobar,2022,1,744205.0,15,29159
Andaman & Nicobar,2022,2,744103.0,97,156861
Andaman & Nicobar,2022,2,744101.0,87,121168
Andaman & Nicobar,2022,2,744105.0,78,137418
Andaman & Nicobar,2022,2,744102.0,62,58453
Andaman & Nicobar,2022,2,744104.0,26,32107
Andaman & Nicobar,2022,2,744107.0,22,52244
Andaman & Nicobar,2022,2,744211.0,19,25543
Andaman & Nicobar,2022,2,744112.0,18,24391
Andaman & Nicobar,2022,2,744301.0,14,28331
Andaman & Nicobar,2022,2,744202.0,13,20817
Andaman & Nicobar,2022,3,744103.0,151,198569
Andaman & Nicobar,2022,3,744101.0,119,151539
Andaman & Nicobar,2022,3,744105.0,101,106324
Andaman & Nicobar,2022,3,744102.0,76,102757
Andaman & Nicobar,2022,3,744104.0,31,35790
Andaman & Nicobar,2022,3,744301.0,27,67604
Andaman & Nicobar,2022,3,744202.0,27,53016
Andaman & Nicobar,2022,3,744205.0,17,34250
Andaman & Nicobar,2022,3,744107.0,16,29251
Andaman & Nicobar,2022,3,744204.0,11,17184
Andaman & Nicobar,2022,4,744103.0,199,299036
Andaman & Nicobar,2022,4,744105.0,166,253344
Andaman & Nicobar,2022,4,744101.0,146,163498
Andaman & Nicobar,2022,4,744102.0,80,98862
Andaman & Nicobar,2022,4,744202.0,43,68397
Andaman & Nicobar,2022,4,744107.0,38,73829
Andaman & Nicobar,2022,4,744104.0,31,55827
Andaman & Nicobar,2022,4,744205.0,27,56611
Andaman & Nicobar,2022,4,744211.0,27,59500
Andaman & Nicobar,2022,4,744112.0,25,42024
Andaman & Nicobar,2023,1,744103.0,236,286594
Andaman & Nicobar,2023,1,744101.0,206,233281
Andaman & Nicobar,2023,1,744105.0,164,256300
Andaman & Nicobar,2023,1,744102.0,117,134841
Andaman & Nicobar,2023,1,744107.0,30,54849
Andaman & Nicobar,2023,1,744301.0,30,58745
Andaman & Nicobar,2023,1,744112.0,29,49945
Andaman & Nicobar,2023,1,744202.0,29,64193
Andaman & Nicobar,2023,1,744205.0,27,40580
Andaman & Nicobar,2023,1,744211.0,24,29149
Andaman & Nicobar,2023,2,744103.0,171,341853
Andaman & Nicobar,2023,2,744105.0,166,255069
Andaman & Nicobar,2023,2,744101.0,134,189989
Andaman & Nicobar,2023,2,744102.0,82,101875
Andaman & Nicobar,2023,2,744104.0,27,34345
Andaman & Nicobar,2023,2,744301.0,25,41299
Andaman & Nicobar,2023,2,744207.0,22,43459
Andaman & Nicobar,2023,2,744112.0,21,20427
Andaman & Nicobar,2023,2,744107.0,20,24693
Andaman & Nicobar,2023,2,744205.0,17,31404
Andaman & Nicobar,2023,3,744103.0,191,306744
Andaman & Nicobar,2023,3,744105.0,147,212575
Andaman & Nicobar,2023,3,744101.0,143,213581
Andaman & Nicobar,2023,3,744102.0,100,120875
Andaman & Nicobar,2023,3,744202.0,35,60750
