States,Years,Quarter,Pincodes,Transaction_count,Transaction_amount
Andaman & Nicobar,2018,1,744101.0,1622,2769298
Andaman & Nicobar,2018,1,744103.0,1223,2238042
Andaman & Nicobar,2018,1,744102.0,969,3519060
Andaman & Nicobar,2018,1,744105.0,685,1298561
Andaman & Nicobar,2018,1,744104.0,340,1039715
Andaman & Nicobar,2018,1,744107.0,302,556060
Andaman & Nicobar,2018,1,744301.0,283,445739
Andaman & Nicobar,2018,1,744112.0,269,333710
Andaman & Nicobar,2018,1,744202.0,193,238914
Andaman & Nicobar,2018,1,744302.0,168,547470
Andaman & Nicobar,2018,2,744101.0,2701,6310090
Andaman & Nicobar,2018,2,744103.0,1965,4752147
Andaman & Nicobar,2018,2,744102.0,1525,5810268
Andaman & Nicobar,2018,2,744105.0,997,2200333
Andaman & Nicobar,2018,2,744301.0,767,1953749
Andaman & Nicobar,2018,2,744104.0,659,1650346
Andaman & Nicobar,2018,2,744107.0,594,1601570
Andaman & Nicobar,2018,2,744112.0,432,578829
Andaman & Nicobar,2018,2,744202.0,405,626524
Andaman & Nicobar,2018,2,744302.0,291,1026590
Andaman & Nicobar,2018,3,744101.0,3462,10833893
Andaman & Nicobar,2018,3,744103.0,3182,10184154
Andaman & Nicobar,2018,3,744102.0,2224,10365275
Andaman & Nicobar,2018,3,744105.0,1613,5152534
Andaman & Nicobar,2018,3,744104.0,1029,2588078
Andaman & Nicobar,2018,3,744301.0,975,4256576
Andaman & Nicobar,2018,3,744112.0,579,1145816
Andaman & Nicobar,2018,3,744107.0,547,1492405
Andaman & Nicobar,2018,3,744302.0,417,1976782
Andaman & Nicobar,2018,3,744202.0,341,2099404
Andaman & Nicobar,2018,4,744101.0,4674,16392855
Andaman & Nicobar,2018,4,744103.0,4576,17022520
Andaman & Nicobar,2018,4,744102.0,3306,17019977
Andaman & Nicobar,2018,4,744105.0,2513,9935283
Andaman & Nicobar,2018,4,744104.0,1432,6091758
Andaman & Nicobar,2018,4,744211.0,1225,3451360
Andaman & Nicobar,2018,4,744301.0,928,4606294
Andaman & Nicobar,2018,4,744112.0,759,2208675
Andaman & Nicobar,2018,4,744107.0,747,1825660
Andaman & Nicobar,2018,4,744202.0,702,3797054
Andaman & Nicobar,2019,1,744103.0,5742,19401965
Andaman & Nicobar,2019,1,744101.0,5156,15501306
Andaman & Nicobar,2019,1,744102.0,3925,16683547
Andaman & Nicobar,2019,1,744105.0,3553,11588669
Andaman & Nicobar,2019,1,744104.0,2833,9141657
Andaman & Nicobar,2019,1,744211.0,1511,5794838
Andaman & Nicobar,2019,1,744202.0,1112,3613381
Andaman & Nicobar,2019,1,744107.0,1029,3592930
Andaman & Nicobar,2019,1,744301.0,920,4652963
Andaman & Nicobar,2019,1,744112.0,802,1893719
