States,Years,Quarter,Pincodes,RegisteredUser
Andaman & Nicobar,2018,1,744103,1717074
Andaman & Nicobar,2018,1,744101,1717074
Andaman & Nicobar,2018,1,744105,1717074
Andaman & Nicobar,2018,1,744102,1717074
Andaman & Nicobar,2018,1,744104,1717074
Andaman & Nicobar,2018,1,744202,1717074
Andaman & Nicobar,2018,1,744112,1717074
Andaman & Nicobar,2018,1,744301,1717074
Andaman & Nicobar,2018,1,744107,1717074
Andaman & Nicobar,2018,1,744211,1717074
Andaman & Nicobar,2018,2,744103,1717074
Andaman & Nicobar,2018,2,744101,1717074
Andaman & Nicobar,2018,2,744105,1717074
Andaman & Nicobar,2018,2,744102,1717074
Andaman & Nicobar,2018,2,744104,1717074
Andaman & Nicobar,2018,2,744202,1717074
Andaman & Nicobar,2018,2,744112,1717074
Andaman & Nicobar,2018,2,744107,1717074
Andaman & Nicobar,2018,2,744301,1717074
Andaman & Nicobar,2018,2,744211,1717074
Andaman & Nicobar,2018,3,744103,1717074
Andaman & Nicobar,2018,3,744101,1717074
Andaman & Nicobar,2018,3,744105,1717074
Andaman & Nicobar,2018,3,744102,1717074
Andaman & Nicobar,2018,3,744104,1717074
Andaman & Nicobar,2018,3,744202,1717074
Andaman & Nicobar,2018,3,744112,1717074
Andaman & Nicobar,2018,3,744107,1717074
Andaman & Nicobar,2018,3,744301,1717074
Andaman & Nicobar,2018,3,744211,1717074
Andaman & Nicobar,2018,4,744103,1717074
Andaman & Nicobar,2018,4,744101,1717074
Andaman & Nicobar,2018,4,744105,1717074
Andaman & Nicobar,2018,4,744102,1717074
Andaman & Nicobar,2018,4,744104,1717074
Andaman & Nicobar,2018,4,744202,1717074
Andaman & Nicobar,2018,4,744107,1717074
Andaman & Nicobar,2018,4,744112,1717074
Andaman & Nicobar,2018,4,744211,1717074
Andaman & Nicobar,2018,4,744301,1717074
Andaman & Nicobar,2019,1,744103,1717074
Andaman & Nicobar,2019,1,744101,1717074
Andaman & Nicobar,2019,1,744105,1717074
Andaman & Nicobar,2019,1,744102,1717074
Andaman & Nicobar,2019,1,744104,1717074
Andaman & Nicobar,2019,1,744202,1717074
